Gender;Height;Weight
Male;73.847.017.017.515;241.893.563.180.437
Male;687.819.040.458.903;162.310.472.521.300
Male;741.101.053.917.849;2.127.408.555.565
Male;717.309.784.033.377;220.042.470.303.077
Male;698.817.958.611.153;206.349.800.623.871
Male;672.530.156.878.065;152.212.155.757.083
Male;687.850.812.516.616;183.927.888.604.031
Male;683.485.155.115.879;167.971.110.489.509
Male;67.018.949.662.883;17.592.944.039.571
Male;634.564.939.783.664;156.399.676.387.112
Male;711.953.822.829.745;186.604.925.560.358
Male;716.408.051.192.206;213.741.169.489.411
Male;647.663.291.334.055;167.127.461.073.476
Male;692.830.700.967.204;189.446.181.386.738
Male;692.437.322.298.112;186.434.168.021.239
Male;676.456.197.004.212;172.186.930.058.117
Male;724.183.166.259.878;196.028.506.330.482
Male;63.974.325.721.061;172.883.470.208.780
Male;696.400.598.997.523;185.983.957.573.130
Male;679.360.048.540.095;182.426.648.013.226
Male;679.150.501.938.206;174.115.929.081.393
Male;694.394.398.680.395;19.773.142.161.472
Male;661.491.319.608.781;149.173.566.007.975
Male;752.059.736.142.212;228.761.780.615.196
Male;678.931.963.386.043;162.006.651.848.287
Male;681.440.327.982.008;192.343.976.579.187
Male;690.896.314.289.256;184.435.174.408.406
Male;728.008.435.165.003;206.828.189.420.354
Male;674.212.422.817.167;175.213.922.399.227
Male;684.964.153.568.827;154.342.638.925.955
Male;686.181.105.502.058;187.506.843.155.807
Male;740.338.076.216.678;212.910.225.325.521
Male;715.282.160.355.709;195.032.243.233.835
Male;691.801.610.995.692;205.183.621.341.371
Male;69.577.202.365.402;204.164.125.484.101
Male;704.009.288.884.762;192.903.515.074.649
Male;690.761.711.675.356;197.488.242.598.925
Male;671.935.232.827.228;183.810.973.232.751
Male;658.073.156.549.306;163.851.824.878.622
Male;643.041.878.915.595;163.108.017.147.583
Male;679.743.362.271.967;172.135.597.406.825
Male;721.894.259.592.134;194.045.404.898.059
Male;652.703.455.240.394;168.617.746.204.292
Male;660.901.773.762.725;161.193.432.596.622
Male;675.103.215.157.138;164.660.277.264.007
Male;701.047.862.551.571;188.922.303.151.274
Male;682.518.364.408.672;187.060.552.163.801
Male;721.727.091.157.973;209.070.863.390.252
Male;691.798.576.188.774;192.014.335.412.005
Male;72.870.360.147.235;211.342.496.819.640
Male;647.825.829.779.871;165.611.626.182.250
Male;701.835.498.874.837;201.071.918.099.568
Male;684.914.502.529.394;173.423.960.346.601
Male;673.308.308.810.162;181.407.679.285.937
Male;669.909.440.825.232;169.737.707.400.252
Male;664.995.499.002.499;163.309.528.309.674
Male;683.530.566.463.988;189.710.209.942.456
Male;707.744.590.703.974;192.124.847.346.168
Male;712.159.236.694.709;1.981.984.641.076
Male;700.133.653.490.674;209.526.499.837.126
Male;714.031.822.207.589;198.759.792.659.859
Male;695.520.050.948.319;198.079.523.654.438
Male;738.185.345.577.699;195.290.612.189.727
Male;6.699.688.275.225;164.943.302.997.003
Male;714.184.658.930.907;179.863.902.339.297
Male;652.793.002.090.043;155.250.420.694.049
Male;682.741.914.742.284;184.519.391.248.574
Male;727.653.699.463.424;220.678.041.465.283
Male;680.993.798.003.468;18.331.265.530.722
Male;688.967.060.721.692;196.451.312.291.183
Male;692.895.099.633.052;184.595.608.300.273
Male;705.232.245.234.565;207.532.838.518.544
Male;696.637.252.265.179;177.200.928.752.348
Male;675.952.688.079.157;163.108.002.209.381
Male;725.081.203.801.037;216.218.230.112.735
Male;712.529.856.038.086;204.655.493.822.323
Male;718.091.868.893.668;200.920.571.219.495
Male;722.451.654.792.519;220.901.769.881.142
Male;665.126.276.609.347;196.449.860.340.782
Male;660.290.340.048.182;168.640.810.039.015
Male;67.577.153.942.735;181.432.713.008.126
Male;682.465.686.016.242;198.658.673.326.418
Male;738.261.270.026.308;237.916.735.863.185
Male;698.024.643.604.904;173.041.255.909.233
Male;659.595.777.848.988;160.683.916.639.879
Male;710.790.175.757.451;188.602.919.070.666
Male;665.961.965.372.077;208.345.694.035.109
Male;689.515.350.928.246;193.435.118.452.271
Male;682.444.617.923.064;174.109.693.790.620
Male;723.168.251.228.452;197.368.589.249.335
Male;718.154.204.495.308;201.620.666.747.742
Male;652.370.495.188.386;181.011.973.240.364
Male;706.405.300.907.292;182.122.485.978.660
Male;64.731.925.597.255;177.549.263.423.371
Male;671.035.511.824.075;164.974.580.682.475
Male;651.174.848.880.457;165.717.112.190.107
Male;717.012.340.230.177;193.094.163.543.063
Male;668.328.782.059.274;180.683.886.970.857
Male;664.712.752.615.182;172.773.722.928.412
Male;694.115.262.206.039;177.470.616.229.738
Male;700.521.774.745.245;200.818.737.313.254
Male;667.436.046.519.631;167.739.775.344.302
Male;662.743.291.154.144;154.395.624.779.233
Male;68.328.447.992.915;177.984.728.603.887
Male;700.758.881.952.341;183.938.856.956.780
Male;687.329.881.487.344;179.204.782.068.600
Male;67.556.051.261.876;158.567.987.385.418
Male;662.536.325.347.937;166.503.531.642.942
Male;691.822.026.805.756;171.983.677.611.956
Male;676.091.049.416.397;17.436.418.237.859
Male;692.927.380.218.867;187.745.351.863.374
Male;681.906.840.077.038;201.487.962.380.610
Male;716.070.857.988.906;204.927.012.136.803
Male;691.968.575.103.315;178.685.546.470.181
Male;672.619.609.790.619;164.014.427.741.951
Male;736.851.933.999.998;223.270.004.412.371
Male;695.372.150.072.948;202.958.306.269.835
Male;683.115.598.414.683;189.391.785.609.949
Male;677.389.634.664.393;178.170.555.578.466
Male;717.057.626.011.001;223.299.335.239.803
Male;636.322.646.037.867;167.028.706.658.323
Male;687.211.984.556.865;180.468.682.011.870
Male;669.493.416.501.869;164.439.145.622.362
Male;627.069.897.353.164;149.969.618.421.042
Male;722.584.089.235.993;192.910.266.551.722
Male;709.086.530.626.676;201.883.998.700.574
Male;67.609.843.601.682;179.868.025.984.495
Male;708.015.589.556.942;196.467.724.673.936
Male;693.047.690.450.735;187.551.649.491.386
Male;662.428.983.411.553;17.169.315.968.571
Male;674.921.929.772.739;191.699.604.784.328
Male;658.062.482.913.584;165.850.647.784.905
Male;714.437.056.615.428;185.662.741.323.862
Male;684.644.058.223.141;178.281.800.729.884
Male;6.398.792.460.498;150.979.051.250.134
Male;710.018.976.858.456;209.929.323.430.504
Male;681.397.241.925.525;174.157.804.341.493
Male;68.395.400.248.121;179.878.977.102.334
Male;680.962.197.450.165;167.747.141.247.633
Male;681.405.903.559.209;183.044.660.372.103
Male;688.600.903.087.433;169.556.820.782.151
Male;661.488.525.422.307;173.431.672.660.432
Male;662.060.320.529.589;180.889.554.609.418
Male;674.321.202.146.878;183.508.932.854.723
Male;69.471.106.031.247;205.977.910.165.675
Male;705.158.596.943.462;183.759.845.192.649
Male;713.383.760.399.558;201.954.495.466.668
Male;710.019.447.673.538;216.120.094.736.912
Male;66.202.347.706.273;159.390.323.744.187
Male;725.433.070.453.887;210.336.424.661.861
Male;674.793.517.580.411;178.618.350.159.953
Male;653.504.105.558.103;146.739.797.635.802
Male;708.440.624.208.882;195.937.014.974.314
